timestamp,x,y,z
605905702,-9.274912,-0.73701566,-3.2830698
605905706,-9.289269,-0.75615895,-3.2591407
605905711,-9.236626,-0.73701566,-3.254355
605905715,-9.313198,-0.6652284,-3.1682103
605905720,-9.32277,-0.6652284,-3.1873536
605905725,-9.317985,-0.6652284,-3.125138
605905729,-9.313198,-0.5695121,-3.0868514
605905734,-9.308413,-0.650871,-3.101209
605905740,-9.361056,-0.598227,-3.1394954
605905744,-9.408915,-0.60779864,-3.072494
605905749,-9.418487,-0.5599405,-3.072494
605905754,-9.337128,-0.5886554,-3.1921394
605905759,-9.370628,-0.5838696,-3.1586387
605905763,-9.351485,-0.66044265,-3.1873536
605905768,-9.32277,-0.6843717,-3.2160685
605905773,-9.260554,-0.8183746,-3.2974274
605905777,-9.346699,-0.8040171,-3.3213565
605905781,-9.346699,-0.78487384,-3.3787863
605905786,-9.308413,-0.6939433,-3.4792883
605905790,-9.308413,-0.73701566,-3.5989337
605905795,-9.361056,-0.8231604,-3.6037195
605905800,-9.327556,-0.7992313,-3.6276486
605905804,-9.365842,-0.7418015,-3.7377224
605905809,-9.404129,-0.6843717,-3.7472942
605905814,-9.361056,-0.7513731,-3.8190813
605905818,-9.389771,-0.68915755,-3.7568657
605905823,-9.399343,-0.73701566,-3.7903664
605905827,-9.447201,-0.71787244,-3.8717253
605905832,-9.456773,-0.66044265,-3.8621538
605905837,-9.47113,-0.57429796,-3.95787
605905841,-9.495059,-0.5025107,-3.986585
605905846,-9.423272,-0.54558307,-4.0153
605905852,-9.451987,-0.57908374,-4.010514
605905856,-9.423272,-0.57908374,-3.9482985
605905861,-9.341913,-0.64129937,-3.9817991
605905866,-9.212696,-0.69872916,-4.0248713
605905871,-9.327556,-0.6748001,-4.0057282
605905875,-9.246197,-0.67001426,-4.0727296
605905880,-9.250982,-0.60301286,-4.020086
605905885,-9.231839,-0.60779864,-4.0727296
605905889,-9.270126,-0.57908374,-4.0248713
605905893,-9.207911,-0.6221561,-4.144517
605905898,-9.317985,-0.5264398,-4.1301594
605905902,-9.361056,-0.5312256,-4.034443
605905907,-9.380199,-0.5551547,-4.0296574
605905912,-9.404129,-0.43072346,-4.034443
605905916,-9.490273,-0.43072346,-3.9482985
605905921,-9.408915,-0.55036885,-3.8860826
605905926,-9.351485,-0.5647263,-3.8286529
605905930,-9.32277,-0.5838696,-3.699436
605905935,-9.207911,-0.7418015,-3.6659353
605905939,-9.15048,-0.75615895,-3.6420062
605905944,-9.140909,-0.7130866,-3.5606472
605905949,-9.102622,-0.8279462,-3.541504
605905953,-9.073908,-0.83751786,-3.383572
605905958,-9.131337,-0.8183746,-3.3452854
605905963,-9.169623,-0.8040171,-3.3213565
605905967,-9.112194,-0.81358874,-3.254355
605905972,-9.136123,-0.7418015,-3.206497
605905976,-9.179195,-0.78487384,-3.1155663
605905981,-9.26534,-0.7896597,-3.101209
605905986,-9.145695,-0.78008807,-3.048565
605905990,-9.246197,-0.80880296,-3.048565
605905995,-9.26534,-0.7992313,-3.0294216
605906001,-9.337128,-0.8040171,-3.0007067
605906005,-9.327556,-0.75615895,-2.9193478
605906010,-9.250982,-0.8040171,-2.9337053
605906015,-9.207911,-0.8805902,-2.8571322
605906020,-9.155267,-0.8614469,-2.8906329
605906024,-9.217482,-0.86623275,-2.8714898
605906029,-9.164838,-0.9093051,-2.8523464
605906034,-9.203125,-0.885376,-2.8714898
605906039,-9.222268,-0.8040171,-2.8810613
605906043,-9.260554,-0.7896597,-2.866704
605906048,-9.231839,-0.74658734,-2.8906329
605906053,-9.289269,-0.703515,-2.833203
605906058,-9.313198,-0.7130866,-2.8092742
605906062,-9.361056,-0.71787244,-2.732701
605906067,-9.361056,-0.7130866,-2.7422726
605906072,-9.370628,-0.7513731,-2.6130557
605906076,-9.332341,-0.6939433,-2.6704855
605906080,-9.250982,-0.7705164,-2.6226273
605906085,-9.236626,-0.80880296,-2.5986981
605906089,-9.169623,-0.87580436,-2.5651975
605906094,-9.250982,-0.89494765,-2.4981961
